Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1692H,Gambling,1700,,https://codeforces.com/contest/1692/problem/H,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,"data structures, dp, greedy, math",
Codeforces,1692G,2^Sort,1400,,https://codeforces.com/contest/1692/problem/G,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,"data structures, dp, sortings, two pointers",
Codeforces,1692F,3SUM,1300,,https://codeforces.com/contest/1692/problem/F,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,"brute force, math",
Codeforces,1692E,Binary Deque,1200,,https://codeforces.com/contest/1692/problem/E,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,"binary search, implementation, two pointers",
Codeforces,1692D,The Clock,1100,,https://codeforces.com/contest/1692/problem/D,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,"brute force, implementation",
Codeforces,1692C,Where's the Bishop?,800,,https://codeforces.com/contest/1692/problem/C,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,implementation,
Codeforces,1692B,All Distinct,800,,https://codeforces.com/contest/1692/problem/B,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,"greedy, sortings",
Codeforces,1692A,Marathon,800,,https://codeforces.com/contest/1692/problem/A,Codeforces Round #799 (Div. 4),2022-06-14,https://codeforces.com/contest/1692,implementation,
Codeforces,1691F,K-Set Tree,2500,,https://codeforces.com/contest/1691/problem/F,CodeCraft-22 and Codeforces Round #795 (Div. 2),2022-05-31,https://codeforces.com/contest/1691,"combinatorics, dfs and similar, dp, math, trees",
Codeforces,1691E,Number of Groups,2300,,https://codeforces.com/contest/1691/problem/E,CodeCraft-22 and Codeforces Round #795 (Div. 2),2022-05-31,https://codeforces.com/contest/1691,"data structures, dfs and similar, dsu, graphs, greedy, sortings",
Codeforces,1691D,Max GEQ Sum,1800,,https://codeforces.com/contest/1691/problem/D,CodeCraft-22 and Codeforces Round #795 (Div. 2),2022-05-31,https://codeforces.com/contest/1691,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",
Codeforces,1691C,Sum of Substrings,1400,,https://codeforces.com/contest/1691/problem/C,CodeCraft-22 and Codeforces Round #795 (Div. 2),2022-05-31,https://codeforces.com/contest/1691,"brute force, constructive algorithms, greedy, math, strings",
